
<0000> "I lost..."
<0001> "Even though I cheated...!"
<0002> "You really should stop doing that,\nor people won't like you."
<0003> "Everything was settled peacefully."
<0004> "It was truly a beautiful contest."
<0005> "Oh, you were here, Hime?"
<0006> "Indeed. I happened to receive a strange transmission from my cute little sister earlier, so I was waiting."
<0007> "A strange transmission?\nWhat did it say?"
<0008> "It told me that you will be coming soon. And what do I know, here you are."
<0009> "The rest of the message read 'cels_ii'... and 'X7u567'. Might you know what that means?"
<0010> "Sorry, I have no idea..."
<0011> "I guess we'll need to ask her directly. However, I haven't seen her in this world."
<0012> "Good grief.\nShe's always causing trouble."
<0013> "I'll have a serious talk with her later. For now, shall we play?"
<0014> "What will I do with you...\nFine, but only for a little while."
<0015> "O-hohoho, let us dance the night away!"
