
<0000> "O-hoho."
<0001> "You seem a little overexcited, Hime."
<0002> "Look how nice today's weather is... How could I stay still?"
<0003> "I understand how you feel."
<0004> "I feel like dancing the day away."
<0005> "Geez."
<0006> "Poppo!"
<0007> "Look, there's some mysterious creature there."
<0008> "There is... Is that a child?"
<0009> "Hey! Wait up, you miscreant!"
<0010> "This time it's a boy."
<0011> "Poppo!"
<0012> "Oh, you want to dance, too?"
<0013> "Poppopo!"
<0014> "Hey! Before playing around, how about giving me back my wallet!?"
<0015> "Your wallet?"
<0016> "Yeah! It's got all my money in there!"
<0017> "In other words, you people are playing tag?"
<0018> "Are you?"
<0019> "No!"
<0020> "Poppo!"
<0021> "Tag... That looks rather fun."
<0022> "Hime..."
<0023> "I said we're not!"
<0024> "Tag, that's right."
<0025> "All right then, let's get started, shall we?"
<0026> "Poppo."
<0027> "That was fun."
<0028> "Suguri is faster than anybody."
<0029> "Poppo lost."
<0030> "Dammit."
<0031> "I played enough. I think I'll get back home."
<0032> "Are you sure? The day is still young."
<0033> "Poooh!"
<0034> "Are you planning to spend the whole day playing around?"
<0035> "Why not when we have such a lovely weather?"
<0036> "Poppo, go."
<0037> "Eh?"
<0038> "I guess she's telling us to follow her."
<0039> "Pooh."
<0040> "It looks like it'd be fun going after her..."
<0041> "Poppopo."
<0042> "Okay, I'm coming with you."
<0043> "Ah, wait for me."
<0044> "Where are we?"
<0045> "Smells sweet here."
<0046> "Poppooh."
<0047> "La la la."
<0048> "Today's snack is gonna be pudding!"
<0049> "Poppopo!"
<0050> "Owww!"
<0051> "What!?"
<0052> "Poppopo."
<0053> "Nooo! My pudding!"
<0054> "That Poppo is doing whatever she pleases."
<0055> "Bad girl, Poppo!"
<0056> "Popoppo!"
<0057> "My pudding! Give it baack!"
<0058> "You seem to be having fun."
<0059> "Yuki!?"
<0060> "Is that a cat?"
<0061> "Anybody please get my pudding back for me!"
<0062> "First we need to catch Poppo."
<0063> "Right!"
<0064> "Phew."
<0065> "Defeated..."
<0066> "Dang..."
<0067> "Poppo lost..."
<0068> "Now, Poppo."
<0069> "Give me my wallet."
<0070> "My pudding!"
<0071> "Not so fast, Poppo!"
<0072> "Ah!"
<0073> "She ran again!"
<0074> "After her."
<0075> "What is it this time? An airplane?"
<0076> "Poppo will ride this!"
<0077> "If we let her..."
<0078> "We're never going to catch her!"
<0079> "Poppo."
<0080> "Vroom? Vroom!"
<0081> "Poppo! No!"
<0082> "Poppopo!"
<0083> "Vrooom!"
<0084> "The plane's about to take off?"
<0085> "Hey! My Red Barrel!"
<0086> "Who are you..."
<0087> "Worry about Red Barrel instead!"
<0088> "Is that airplane yours?"
<0089> "Yes. She's my very important partner!"
<0090> "Let's get her back already then."
<0091> "Hey there, Red Barrel! I'll defeat you today for sure."
<0092> "Blue Crow! Perfect timing!"
